,date,keyword,repeat,type,rank,ASIN,Name
0,20210304_0026_Thu,シャンプー,try_1,Organic,1,B08H837KVQ,ザ パブリック オーガニック シャンプー & トリートメント ベストコスメ 本体ボトル セット スーパーバウンシー 480mL + 480mL
1,20210304_0026_Thu,シャンプー,try_1,Organic,2,B084Q5L3X4,【2021年モデル】Nile 濃密泡スカルプシャンプー メンズ アミノ酸シャンプー ノンシリコン リンス成分配合
2,20210304_0026_Thu,シャンプー,try_1,Organic,3,B073W1637L,シャンプー ＆ トリートメント 【 無添加 天然由来洗浄 】 オルナ オーガニック ボタニカル ノンシリコンシャンプー / ボタニカル トリートメント 500ml&500ml ヒアルロン酸 コラーゲン ビタミンC誘導体 スムース ヘアケアギフトセット
3,20210304_0026_Thu,シャンプー,try_1,Organic,4,B08DCW3JZH,【セット】BOTANIST(ボタニスト) ボタニカルシャンプー490ml&トリートメント490g （モイスト）
4,20210304_0026_Thu,シャンプー,try_1,Organic,5,B08BQY8XKY,ヘアザプロテイン モイスト シャンプー 460mL + トリートメント 460mL セット
5,20210304_0026_Thu,シャンプー,try_1,Organic,6,B07GRT7JQ7,シャンプー&トリートメント [ダメージ補修] フローラル&ベリーの香り パーフェクトビューティ エクストラダメージリペア セット 450ml×2
6,20210304_0026_Thu,シャンプー,try_1,Organic,7,B08HHJZSYF,Nile 超濃密泡シャンプー メンズ 濃厚ジェル アミノ酸 スカルプケア トラベルセット (250ｍⅬ)
7,20210304_0026_Thu,シャンプー,try_1,Organic,8,B01BEQUXC8,【まとめ買い】オクト シャンプー (医薬部外品) 320ml×2個セット
8,20210304_0026_Thu,シャンプー,try_1,Organic,9,B07Q2G3SJZ,[医薬部外品] アンファー (ANGFA) スカルプD シャンプー オイリー 脂性肌用 男のスカルプD 薬用シャンプー スカルプシャンプー ふけ かゆみ アミノ酸 ノンシリコン サルフェートフリー 男性用 薬用 350ml 2019年リニューアル
9,20210304_0026_Thu,シャンプー,try_1,Organic,10,B08R37TFB6,シャンプー トリートメント 詰め替え セット 【 卵殻膜 アミノ酸 配合 の アミノ酸シャンプー 】 「 パラペンフリー 鉱物油フリー 着色剤フリー の 無添加シャンプー 」 NALOW ナロウ ディープ モイスト 詰め替え用 450ml+450g
10,20210304_0026_Thu,シャンプー,try_1,Organic,11,B08881D962,MISTON 炭酸シャンプー クリアプレシャス スカルプフォーム メンズ 大容量モデル 320g
11,20210304_0026_Thu,シャンプー,try_1,Organic,12,B08D87SCX6,ISM　シャンプー&トリートメント　セット　ココナッツアンバー　各490ml
12,20210304_0026_Thu,シャンプー,try_1,Organic,13,B08GFR6FF6,Natuarc ナチュアーク シャンプー ＆ トリートメント セット オーガニック ボタニカル 弱酸性 ノンシリコンシャンプー/ボタニカル トリートメント アミノ酸 配合 【 無添加 天然由来 】500ml&500ml
13,20210304_0026_Thu,シャンプー,try_1,Organic,14,B07HRSMSWQ,【大容量】パンテーン シャンプー エクストラダメージケア 詰め替え 超特大 2200mL
14,20210304_0026_Thu,シャンプー,try_1,Organic,15,B08SD1QS9J,BOTANIST(ボタニスト) BOTANIST ボタニカルスプリングシャンプー モイスト21 490mL
15,20210304_0026_Thu,シャンプー,try_1,Organic,16,B08R636FVV,サクセス 24 【まとめ買い】 クレンジング シャンプー 350ml & スカルプ コンディショナー 350ml 〈 みずみずしいフルーティフローラルの香り 〉 + ヒゲを剃りやすくする朝の洗顔シート 20枚入 付き セット 350ml+350ml+20枚
16,20210304_0026_Thu,シャンプー,try_1,Organic,17,B08S3VR6SJ,andand(アンドアンド) シャンプー 〔楽しく〕スパークリングシトラスの香り 480ml & トリートメント 〔またたく〕 プレシャスピーチの香り 480ml ポンプペア セット 480ml+480ml
17,20210304_0026_Thu,シャンプー,try_1,Organic,18,B07VK3GZ7W,シャンプー ヘアケア セット シンスボーテ オーガニック 400ml 無添加 アミノ酸 美容室専売品 ギフト
