,date,keyword,repeat,type,rank,ASIN,Name
0,20210628_1110_Mon,シャンプー,try_1,SBA,1,None,
1,20210628_1110_Mon,シャンプー,try_1,SBA,2,None,髪も頭皮もよろこぶ天然由来のシャンプー
2,20210628_1110_Mon,シャンプー,try_1,SBA,3,B07ZB81Q8J,
3,20210628_1110_Mon,シャンプー,try_1,SBA,4,B07VL29YHZ,haru(ハル) kurokami スカルプ シャンプー アミノ酸 天然由来 柑橘系 400ml メッセージ…
4,20210628_1110_Mon,シャンプー,try_1,SBA,5,B07ZB8YFKK,
5,20210628_1110_Mon,シャンプー,try_1,SBA,6,None,haru(ハル) kurokami スカルプ 天然由来 アミノ酸シャンプー 柑橘系 400ml×2本 リンス…
6,20210628_1110_Mon,シャンプー,try_1,SBA,7,None,
7,20210628_1110_Mon,シャンプー,try_1,SBA,8,None,haru(ハル) kurokami スカルプ 天然由来 アミノ酸シャンプー 柑橘系 400ml×3本 リンス…
8,20210628_1110_Mon,シャンプー,try_1,SBA,9,None,
9,20210628_1110_Mon,シャンプー,try_1,SBA,10,None,おすすめ記事
10,20210628_1110_Mon,シャンプー,try_1,SBA,11,None,
11,20210628_1110_Mon,シャンプー,try_1,SBA,12,None,男性の頭皮は皮脂がたまりやすいため、毎日のシャンプーにはメンズシャンプーを使うのがぴったりです。しかし、シャンプーに含まれている成分や洗い上がりの感覚などは、製品によって大きく異なります。この記事では、ヘアケアアドバイザー・sakuranboさん監修のもと、男性におすすめのシャンプーの選び方とおすすめ商品をご紹介します。
12,20210628_1110_Mon,シャンプー,try_1,SBA,13,None,
13,20210628_1110_Mon,シャンプー,try_1,SBA,14,None,延命草エキスでボリューム感が増す！
14,20210628_1110_Mon,シャンプー,try_1,SBA,15,None,
15,20210628_1110_Mon,シャンプー,try_1,SBA,16,None,育毛剤にも使用されている延命草エキスを配合し、髪にハリやコシを与えてボリューム感を増加させるこのシャンプー。髪に潤いを与えることで、乾燥による…
16,20210628_1110_Mon,シャンプー,try_1,SBA,17,None,
17,20210628_1110_Mon,シャンプー,try_1,SBA,18,None,亜鉛の力でキューティクル層の内側から強い髪に！
18,20210628_1110_Mon,シャンプー,try_1,SBA,19,None,
19,20210628_1110_Mon,シャンプー,try_1,SBA,20,None,髪のボリューム感が減少してしまう、意外な要因として知られている亜鉛不足。このシャンプーは、亜鉛を配合し浸透させやすくするヘアケア技術を用いるこ…
20,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,1,None,
21,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,2,None,【脂性肌用スカルプシャンプー】メンズスキンケアは頭皮から
22,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,3,B087C1VQZ8,
23,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,4,B087C1TDV1,リアップエナジー薬用スカルプシャンプー オイリー 400ml
24,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,5,B087C1Q5ZD,
25,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,6,None,リアップエナジー薬用スカルプシャンプー ストロングオイリー 400ml
26,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,7,None,
27,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,8,None,大正製薬リアップエナジー薬用スカルプパックコンディショナートリートメント本体
28,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,9,None,
29,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,10,None,おすすめ記事
30,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,11,None,
31,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,12,None,この記事では、抜け毛対策シャンプーの選び方とおすすめ商品をご紹介します。男性用も女性用もどちらもご紹介していきます！
32,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,13,None,
33,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,14,None,昼〜夕方にかけて頭皮のベタつきが気になる方に
34,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,15,None,
35,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,16,None,スカルプDのシャンプーは、頭皮の状態に合わせて「超脂性肌用」「脂性肌用」「乾燥肌用」の3タイプから選ぶことができます。中でもこの「脂性肌用」は…
36,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,17,None,
37,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,18,None,さっぱりした洗い上がりを求める男性向け
38,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,19,None,
39,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,20,None,モンゴ流とは、「私たちと同じ“モンゴロイド（モンゴル人種）”であるにも関わらず、髪がふさふさしているモンゴル人やインディアンの古来からの洗髪流…
40,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,21,None,
41,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,22,None,ドクターズコスメブランドが提案する3シャンプー
42,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,23,None,
43,20210628_1110_Mon,シャンプー メンズ,try_1,SBA,24,None,美容皮膚科から発想を得たドクターズコスメを提案する「ドクターシーラボ」の薬用シャンプーです。『エスモEX 薬用シャンプー』は、髪の悩みが出てきた…
44,20210628_1110_Mon,トリートメント,try_1,SBA,1,None,
45,20210628_1110_Mon,トリートメント,try_1,SBA,2,None,パンテーン 最高級シリーズ「ミラクルズ」
46,20210628_1110_Mon,トリートメント,try_1,SBA,3,B08HDG1N8B,
47,20210628_1110_Mon,トリートメント,try_1,SBA,4,B07GT1CFP2,パンテーン ミラクルズ 洗い流すトリートメント カラーシャイン 120g
48,20210628_1110_Mon,トリートメント,try_1,SBA,5,B07VYC37L5,
49,20210628_1110_Mon,ヘアオイル,try_1,SBA,1,None,
50,20210628_1110_Mon,ヘアオイル,try_1,SBA,2,None,あなたが輝くオーガニック。髪と頭皮を健やかに保つヘアケアコスメブランド
51,20210628_1110_Mon,ヘアオイル,try_1,SBA,3,B08M8XJZST,
52,20210628_1110_Mon,ヘアオイル,try_1,SBA,4,B07T88NTB1,オーガニックヘアオイル
53,20210628_1110_Mon,ヘアオイル,try_1,SBA,5,B0827GBTWR,
54,20210628_1110_Mon,ヘアオイル,try_1,SBA,6,None,シャンプー＆コンディショナー
55,20210628_1110_Mon,ヘアオイル,try_1,SBA,7,None,
56,20210628_1110_Mon,ヘアオイル,try_1,SBA,8,None,ギフトセット
57,20210628_1110_Mon,ヘアオイル,try_1,SBA,9,None,
58,20210628_1110_Mon,ヘアオイル,try_1,SBA,10,None,おすすめ記事
59,20210628_1110_Mon,ヘアオイル,try_1,SBA,11,None,
60,20210628_1110_Mon,ヘアオイル,try_1,SBA,12,None,ドライヤーやパーマー、カラーなどで傷んだ髪には「洗い流さないトリートメント」がおすすめです。今回は、洗い流さないトリートメントのメリットや選び方を解説！さらに市販で買える人気アイテムを大公開します。プチプラから上質なアイテムまで紹介するので、ぜひ参考にしてくださいね。
61,20210628_1110_Mon,ヘアオイル,try_1,SBA,13,None,
62,20210628_1110_Mon,ヘアオイル,try_1,SBA,14,None,バオバブオイルが、水分となじみながら毛髪の内部まで浸透して柔らかくしてくれる
63,20210628_1110_Mon,ヘアオイル,try_1,SBA,15,None,
64,20210628_1110_Mon,ヘアオイル,try_1,SBA,16,None,「髪のダメージや乾燥などで、思い通りのヘアスタイルがなかなか決まらない。」と悩んでいるなら、この商品がおすすめです。 こちらは、美容院専売ブ…
65,20210628_1110_Mon,ヘアオイル,try_1,SBA,17,None,
