,date,keyword,repeat,type,rank,ASIN,Name
0,20210628_1110_Mon,シャンプー,try_1,SPA,1,,[Amazon限定ブランド] Essenshil (エッセンシル) シャンプー&トリートメント セット トライアクティブ 480ml+480g ブルー フローラル
1,20210628_1110_Mon,シャンプー,try_1,SPA,2,,シャンプー&トリートメント セット シンスボーテ 400ml オーガニック 無添加 アミノ酸 美容室専売品 ギフト
2,20210628_1110_Mon,シャンプー,try_1,SPA,3,,【セット買い】 セグレタプレミアム スパ フォーム シャンプー + コンディショナー セット (シャンプー 170g + コンディショナー 150g) クリームみたいな 炭酸 ※泡 ※炭酸ガス(噴射剤)
3,20210628_1110_Mon,シャンプー,try_1,SPA,4,,dot スカルプシャンプー メンズ 頭皮ケア フケ痒み予防 育毛 を サポート アミノ酸シャンプー ノンシリコン 医薬部外品200ml
4,20210628_1110_Mon,シャンプー,try_1,SPA,5,,[Amazon限定ブランド] Koloha+Plus シャンプー トリートメント ヘアオイル セット ノンシリコン アミノ酸 オーガニック シャンプー 洗い流さないトリートメント レベナオーガニック
5,20210628_1110_Mon,シャンプー,try_1,SPA,6,,CITRUSPA シトラスパ シャンプートリートメント&ヘアパック（スムース）
6,20210628_1110_Mon,シャンプー,try_1,SPA,7,,【セット買い】 and and エアリーピーチの香り シャンプー & スウィートジャスミンの香り トリートメント [ ノンシリコン 処方 ]
7,20210628_1110_Mon,シャンプー,try_1,SPA,8,,シャンプー 詰め替え ＆ トリートメント 詰め替え セット 【 プロテイン アミノ酸 配合 】 ヘアザプロテイン シャンプー ＆ トリートメント 400ml&400ml
8,20210628_1110_Mon,シャンプー,try_1,SPA,9,,ヘアザプロテイン モイスト シャンプー 460mL + トリートメント 460mL セット
9,20210628_1110_Mon,シャンプー,try_1,SPA,10,,＜プライムセール対象！今だけ限定１５％OFF！＞【人気No.1！自宅でサロンケア！】＜セットでお得＞ 美容液成分で洗うシャンプー！ 美容室専売品 ディアローグ アメリオレイト シャンプー トリートメント 1000mlセット＜超保湿成分高配合＞
